Title,Distributor,Release Date,Domestic Sales (in $),International Sales (in $),World Sales (in $),Genre,License
Sherlock Holmes: A Game of Shadows,Warner Bros,NA,186848418,357000000,543848418,Action|Adventure|Crime|Mystery|Thriller,NA
Batman Forever,Warner Bros,16-Jun-95,184069126,152498032,336567158,Action|Adventure|Fantasy,PG-13
The Fugitive,Warner Bros,NA,183875760,185000000,368875760,Action|Adventure|Crime|Drama|Mystery|Thriller,NA
Ocean's Eleven,Warner Bros,7-Dec-01,183417150,267300000,450717150,Crime|Thriller,PG-13
The Perfect Storm,Warner Bros,30-Jun-00,182618434,146100000,328718434,Action|Adventure|Drama|Thriller,PG-13
The Matrix,Warner Bros,31-Mar-99,171479930,295145800,466625730,Action|Sci-Fi,R
Robin Hood: Prince of Thieves,Warner Bros,14-Jun-91,165493908,225000000,390493908,Action|Adventure|Drama|Romance,NA
Clash of the Titans,Warner Bros,31-Mar-10,163214888,330000105,493214993,Action|Adventure|Fantasy,PG-13
Batman Returns,Warner Bros,19-Jun-92,162902340,103990656,266892996,Action,PG-13
San Andreas,Warner Bros,22-May-15,155190832,318818322,474009154,Action|Adventure|Drama|Thriller,PG-13
Mad Max: Fury Road,Warner Bros,7-May-15,154058340,221600410,375658750,Action|Adventure|Sci-Fi|Thriller,R
Scooby-Doo,Warner Bros,14-Jun-02,153294164,122356539,275650703,Adventure|Comedy|Mystery,PG
We're the Millers,Warner Bros,29-Aug-12,150394119,119600000,269994119,Comedy|Crime,R
Terminator 3: Rise of the Machines,Warner Bros,2-Jul-03,150371112,283000000,433371112,Action|Sci-Fi,R
Gran Torino,Warner Bros,12-Dec-08,148095302,121862926,269958228,Drama,R
The Great Gatsby,Warner Bros,10-May-13,144840419,208801855,353642274,Drama|Romance,PG-13
Lethal Weapon 3,Warner Bros,15-May-92,144731527,177000000,321731527,Action|Crime|Thriller,R
The Matrix Revolutions,Warner Bros,5-Nov-03,139313948,288030377,427344325,Action|Sci-Fi,R
The Conjuring,Warner Bros,18-Jul-13,137400141,182890848,320290989,Horror|Mystery|Thriller,R
The Green Mile,Warner Bros,10-Dec-99,136801374,150000000,286801374,Crime|Drama|Fantasy|Mystery,R
Argo,Warner Bros,11-Oct-12,136025503,96300000,232325503,Biography|Drama|History|Thriller,R
Superman,Warner Bros,15-Dec-78,134451603,166000000,300451603,Action|Adventure|Drama|Romance|Sci-Fi,PG
Troy,Warner Bros,12-May-04,133378256,364031596,497409852,Adventure,R
The Departed,Warner Bros,5-Oct-06,132384315,159081058,291465373,Crime|Drama|Thriller,R
Lethal Weapon 4,Warner Bros,10-Jul-98,130444603,155000000,285444603,Action|Crime|Thriller,R
Get Smart,Warner Bros,19-Jun-08,130319208,100366245,230685453,Action|Adventure|Comedy,PG-13
Ocean's Twelve,Warner Bros,9-Dec-04,125544280,237200000,362744280,Crime|Thriller,PG-13
Terminator Salvation,Warner Bros,20-May-09,125322469,246030532,371353001,Action|Adventure|Sci-Fi,PG-13
The Bodyguard,Warner Bros,NA,122006740,289000000,411006740,Action|Drama|Music|Romance,NA
Four Christmases,Warner Bros,26-Nov-08,120146040,43966681,164112721,Comedy|Drama|Romance,PG-13
Horrible Bosses,Warner Bros,7-Jul-11,117538559,92300000,209838559,Comedy|Crime,R
Ocean's Thirteen,Warner Bros,NA,117154724,194157900,311312624,Crime|Thriller,NA
Green Lantern,Warner Bros,15-Jun-11,116601172,103250000,219851172,Action|Adventure|Sci-Fi,PG-13
You've Got Mail,Warner Bros,18-Dec-98,115821495,135000000,250821495,Comedy|Drama|Romance,PG
Wild Wild West,Warner Bros,30-Jun-99,113804681,108300000,222104681,Action|Comedy|Sci-Fi|Western,PG-13
Magic Mike,Warner Bros,28-Jun-12,113721571,54018390,167739961,Comedy|Drama,R
The Last Samurai,Warner Bros,5-Dec-03,111127263,343500000,454627263,Action|Drama|History|War,R
Valentine's Day,Warner Bros,10-Feb-10,110485654,106000000,216485654,Comedy|Romance,PG-13
Creed,Warner Bros,25-Nov-15,109767581,63800000,173567581,Drama|Sport,PG-13
A Time to Kill,Warner Bros,NA,108766007,43500000,152266007,Crime|Drama|Thriller,NA
Ace Ventura: When Nature Calls,Warner Bros,NA,108385533,104000000,212385533,Adventure|Comedy,NA
Superman II,Warner Bros,19-Jun-81,108185706,108185706,108185706,Action|Adventure|Romance|Sci-Fi,PG
Watchmen,Warner Bros,4-Mar-09,107509799,77873014,185382813,Action|Drama|Mystery|Sci-Fi,R
Batman & Robin,Warner Bros,20-Jun-97,107353792,130881927,238235719,Action,PG-13
Dune,Warner Bros,NA,107344390,289700000,397044390,Action|Adventure|Sci-Fi,NA
Analyze This,Warner Bros,5-Mar-99,106885658,70000000,176885658,Comedy|Crime,R
Miss Congeniality,Warner Bros,22-Dec-00,106807667,105935053,212742720,Action|Comedy|Crime|Romance,PG-13
300: Rise of an Empire,Warner Bros,5-Mar-14,106580051,231000000,337580051,Action|Drama|Fantasy|War,R
Journey 2: The Mysterious Island,Warner Bros,19-Jan-12,103860290,231400000,335260290,Action|Adventure|Comedy|Family|Fantasy|Sci-Fi,PG
Pacific Rim,Warner Bros,11-Jul-13,101802906,309200000,411002906,Action|Adventure|Sci-Fi,PG-13
Journey to the Center of the Earth,Warner Bros,10-Jul-08,101704370,142528318,244232688,Action|Adventure|Family|Fantasy|Sci-Fi,PG
Eraser,Warner Bros,21-Jun-96,101295562,141000000,242295562,Action|Drama|Mystery|Thriller,R
Unforgiven,Warner Bros,NA,101157447,58000000,159157447,Drama|Western,NA
Rampage,Warner Bros,11-Apr-18,101028233,327000000,428028233,Action|Crime|Thriller,PG-13
Contact,Warner Bros,11-Jul-97,100920329,70200000,171120329,Drama|Mystery|Sci-Fi|Thriller,PG
The Pelican Brief,Warner Bros,NA,100768056,94500000,195268056,Crime|Drama|Mystery|Thriller,NA
Due Date,Warner Bros,3-Nov-10,100539043,111241781,211780824,Comedy|Drama,R
Million Dollar Baby,Warner Bros,15-Dec-04,100492203,116271443,216763646,Drama|Sport,PG-13
Yogi Bear,Warner Bros,17-Dec-10,100246011,103263363,203509374,Adventure|Animation|Comedy|Family,PG
Edge of Tomorrow,Warner Bros,28-May-14,100206256,270335000,370541256,Action|Adventure|Sci-Fi,PG-13
Yes Man,Warner Bros,18-Dec-08,97690976,125550661,223241637,Comedy|Romance,PG-13
Sex and the City 2,Warner Bros,27-May-10,95347692,195397363,290745055,Comedy|Drama|Romance,R
The Book of Eli,Warner Bros,14-Jan-10,94835059,62272696,157107755,Action|Adventure|Drama|Thriller,R
He's Just Not That Into You,Warner Bros,NA,93953653,84912505,178866158,Comedy|Drama|Romance,NA
The Bucket List,Warner Bros,25-Dec-07,93466502,81906000,175372502,Adventure|Comedy|Drama,PG-13
Cats & Dogs,Warner Bros,4-Jul-01,93385515,107301977,200687492,Action|Comedy|Family|Fantasy,PG
Two Weeks Notice,Warner Bros,20-Dec-02,93354851,105688620,199043471,Comedy|Romance,PG-13
The Town,Warner Bros,15-Sep-10,92186262,61839874,154026136,Crime|Drama|Thriller,R
The Client,Warner Bros,NA,92115211,25500000,117615211,Crime|Drama|Mystery|Thriller,NA
Space Cowboys,Warner Bros,4-Aug-00,90464773,38419359,128884132,Action|Adventure|Thriller,PG-13
Space Jam,Warner Bros,NA,90418342,140000000,230418342,Adventure|Animation|Comedy|Family|Fantasy|Sci-Fi|Sport,NA
Get Hard,Warner Bros,26-Mar-15,90411453,21300000,111711453,Comedy|Crime,R
Mystic River,Warner Bros,8-Oct-03,90135191,66460000,156595191,Crime|Drama|Mystery|Thriller,R
Starsky & Hutch,Warner Bros,5-Mar-04,88237754,82030996,170268750,Comedy|Crime,PG-13
The Campaign,Warner Bros,NA,86907746,18000000,104907746,Comedy,NA
Tammy,Warner Bros,2-Jul-14,84525432,15850000,100375432,Comedy,R
"Crazy, Stupid, Love.",Warner Bros,28-Jul-11,84351197,60700000,145051197,Comedy|Drama|Romance,PG-13
Annabelle,Warner Bros,23-Sep-14,84273813,173305469,257579282,Horror|Mystery,R
Scooby-Doo 2: Monsters Unleashed,Warner Bros,NA,84216833,97000000,181216833,Adventure|Comedy|Family|Fantasy|Horror|Mystery,NA
Wrath of the Titans,Warner Bros,28-Mar-12,83670083,218300000,301970083,Action|Adventure|Fantasy,PG-13
Disclosure,Warner Bros,9-Dec-94,83015089,131000000,214015089,Drama|Thriller,R
